condition,drugName,rating,usefulCount
Depression,Fluoxetine,1,26
Birth Control,Skyla,10,10
"Diabetes, Type 2",Victoza,10,54
Birth Control,Skyla,3,3
Depression,Paroxetine,3,5
"Diabetes, Type 2",Trulicity,7,10
Birth Control,Levonorgestrel,9,2
Depression,Fluoxetine,10,15
Birth Control,Ethinyl estradiol / norethindrone,5,2
Birth Control,Ethinyl estradiol / levonorgestrel,5,2
Depression,Celexa,9,23
Birth Control,Nexplanon,2,4
Birth Control,Mirena,9,1
Birth Control,ParaGard,10,2
Depression,Zoloft,10,35
Depression,Sertraline,6,31
Depression,Escitalopram,6,10
Depression,Prozac,9,110
Birth Control,Orsythia,1,20
Birth Control,Xulane,8,7
Birth Control,Medroxyprogesterone,8,2
"Diabetes, Type 2",Liraglutide,10,21
Birth Control,Ethinyl estradiol / norgestimate,4,11
Birth Control,Aubra,4,0
Depression,Quetiapine,10,26
Birth Control,Depo-Provera,4,1
Birth Control,Medroxyprogesterone,1,4
Birth Control,Mononessa,2,1
Depression,Escitalopram,8,70
High Blood Pressure,Olmesartan,9,30
Birth Control,Levonorgestrel,7,2
Birth Control,Ethinyl estradiol / norgestimate,2,6
Birth Control,Etonogestrel,9,5
Depression,Desvenlafaxine,9,9
Birth Control,Levonorgestrel,3,16
Birth Control,Medroxyprogesterone,3,0
Birth Control,Levonorgestrel,1,2
Birth Control,Ethinyl estradiol / norgestimate,3,15
Depression,Bupropion,1,33
Birth Control,Ethinyl estradiol / levonorgestrel,4,3
Birth Control,Implanon,10,2
Birth Control,ParaGard,10,8
Birth Control,Mirena,8,0
Birth Control,Ortho Tri-Cyclen Lo,5,14
"Diabetes, Type 2",Insulin aspart,10,6
Depression,Sertraline,7,19
Birth Control,Etonogestrel,1,11
Birth Control,Lutera,6,4
Birth Control,Mirena,8,0
High Blood Pressure,Amlodipine,6,38
Birth Control,Etonogestrel,4,7
Birth Control,Levonorgestrel,5,0
Depression,Duloxetine,2,22
Birth Control,Apri,7,21
Birth Control,Ethinyl estradiol / levonorgestrel,8,1
"Diabetes, Type 2",Trulicity,10,15
High Blood Pressure,Azor,10,25
Depression,Desvenlafaxine,8,27
Depression,Vortioxetine,5,38
Birth Control,Implanon,8,9
High Blood Pressure,Carvedilol,10,47
Birth Control,Apri,2,1
Birth Control,Ethinyl estradiol / norethindrone,10,7
Depression,Sertraline,10,131
Birth Control,Gildess Fe 1 / 20,2,3
Birth Control,Copper,3,3
Birth Control,Etonogestrel,10,31
Birth Control,Drospirenone / ethinyl estradiol,3,28
Depression,Bupropion,9,57
Birth Control,Ethinyl estradiol / norethindrone,6,1
Birth Control,Ethinyl estradiol / ethynodiol,8,7
Birth Control,Implanon,7,2
Birth Control,Lo Loestrin Fe,9,15
Birth Control,Desogen,9,5
Birth Control,Ethinyl estradiol / norethindrone,3,1
Birth Control,Depo-Provera,1,4
Birth Control,Nexplanon,6,11
Depression,Celexa,10,41
Birth Control,Nexplanon,1,1
Birth Control,Copper,10,8
Birth Control,ParaGard,3,2
Birth Control,Taytulla,10,8
"Diabetes, Type 2",Janumet,4,26
Birth Control,Depo-Provera,8,1
Birth Control,Desogestrel / ethinyl estradiol,10,6
Depression,Levomilnacipran,1,5
Birth Control,Ethinyl estradiol / norethindrone,8,6
Birth Control,Ortho Tri-Cyclen Lo,2,0
"Diabetes, Type 2",Victoza,8,17
Depression,Vilazodone,9,69
Birth Control,Ethinyl estradiol / norgestimate,10,8
Birth Control,Ethinyl estradiol / levonorgestrel,2,0
Depression,Risperdal,10,67
Birth Control,Skyla,8,1
High Blood Pressure,Carvedilol,1,58
High Blood Pressure,Carvedilol,3,31
Depression,Bupropion,9,15
Birth Control,Sprintec,7,2
Birth Control,Mircette,1,6
Birth Control,Loestrin 24 Fe,9,0
Birth Control,Ethinyl estradiol / etonogestrel,8,11
Birth Control,Norethindrone,1,3
Birth Control,Ethinyl estradiol / norgestimate,3,7
Birth Control,Medroxyprogesterone,2,2
Depression,Cymbalta,9,68
Depression,Paroxetine,8,16
Birth Control,Sprintec,8,14
Birth Control,Nexplanon,4,1
Birth Control,Natazia,6,9
"Diabetes, Type 2",Onglyza,1,10
Birth Control,Ethinyl estradiol / etonogestrel,9,0
Birth Control,Nexplanon,5,4
Birth Control,Nexplanon,8,11
"Diabetes, Type 2",ActoPlus Met,1,12
Birth Control,Ethinyl estradiol / norethindrone,1,4
Birth Control,Ethinyl estradiol / levonorgestrel,4,1
Birth Control,Drospirenone / ethinyl estradiol,4,0
Birth Control,Lo Loestrin Fe,8,33
Birth Control,Copper,10,14
Birth Control,Desogestrel / ethinyl estradiol,10,10
Depression,Xanax,10,179
Birth Control,Ethinyl estradiol / etonogestrel,1,4
Birth Control,Levonorgestrel,8,4
Depression,Prozac,10,79
Birth Control,Etonogestrel,5,13
Birth Control,Ethinyl estradiol / etonogestrel,3,70
Birth Control,Nexplanon,1,5
Birth Control,Ethinyl estradiol / norethindrone,1,0
Depression,Nardil,10,47
Birth Control,NuvaRing,7,0
"Diabetes, Type 2",Invokana,1,26
Birth Control,Ethinyl estradiol / norgestimate,10,13
Birth Control,Medroxyprogesterone,1,0
Birth Control,Ethinyl estradiol / etonogestrel,2,7
Birth Control,Desogestrel / ethinyl estradiol,9,12
Birth Control,Liletta,5,2
Birth Control,Etonogestrel,10,3
Birth Control,Seasonique,7,11
Birth Control,Loestrin 24 Fe,9,0
Depression,Fluoxetine,10,138
Depression,Risperidone,10,54
Birth Control,Errin,8,0
Birth Control,NuvaRing,2,1
Birth Control,Sprintec,5,0
Depression,Wellbutrin SR,10,91
Birth Control,Etonogestrel,10,6
Birth Control,Mirena,10,0
"Diabetes, Type 2",Liraglutide,10,5
"Diabetes, Type 2",Metformin,9,103
Birth Control,Etonogestrel,5,4
Birth Control,Microgestin Fe 1 / 20,9,11
Birth Control,Ethinyl estradiol / levonorgestrel,4,5
Birth Control,Lo Loestrin Fe,10,8
Birth Control,Ethinyl estradiol / norgestimate,7,5
Birth Control,Sprintec,3,3
Birth Control,Ethinyl estradiol / norgestimate,3,2
Birth Control,Mirena,2,10
Birth Control,TriNessa,9,4
Birth Control,Ethinyl estradiol / levonorgestrel,10,2
Birth Control,Skyla,10,6
Birth Control,Nexplanon,1,10
Birth Control,Liletta,10,2
Depression,Zyprexa,9,42
Birth Control,Alesse,2,2
Depression,Seroquel,4,20
Birth Control,Ethinyl estradiol / etonogestrel,4,21
Birth Control,Lo Loestrin Fe,1,9
Birth Control,Lo Loestrin Fe,5,16
Birth Control,Nexplanon,10,4
Depression,Vortioxetine,9,7
Depression,Bupropion,1,6
Depression,Wellbutrin SR,1,25
Birth Control,Seasonique,10,21
Depression,Cymbalta,8,21
"Diabetes, Type 2",Canagliflozin,9,95
Birth Control,Ethinyl estradiol / norgestimate,9,0
"Diabetes, Type 2",Afrezza,10,22
Birth Control,Gildess Fe 1 / 20,1,3
Birth Control,Vienva,10,4
Birth Control,Implanon,4,8
Depression,Abilify,10,160
Depression,Venlafaxine,8,6
Birth Control,ParaGard,8,5
Depression,Citalopram,10,29
Birth Control,Levonorgestrel,7,3
Birth Control,Levonorgestrel,1,3
Birth Control,Nexplanon,2,4
Birth Control,Ethinyl estradiol / norgestimate,1,7
Depression,Citalopram,9,10
Depression,Quetiapine,10,25
Birth Control,Etonogestrel,1,5
Birth Control,Implanon,10,7
Birth Control,NuvaRing,8,5
Depression,Vilazodone,10,88
Birth Control,Levonorgestrel,9,1
Depression,Vortioxetine,3,19
Birth Control,Mirena,9,1
Birth Control,Yasmin,10,41
Birth Control,Nexplanon,6,6
Birth Control,Yasmin,3,8
Birth Control,NuvaRing,10,15
"Diabetes, Type 2",Exenatide,9,35
Birth Control,Ethinyl estradiol / norethindrone,3,15
Birth Control,Microgestin Fe 1 / 20,5,1
"Diabetes, Type 2",Bydureon,1,14
Birth Control,Minastrin 24 Fe,9,7
Birth Control,Etonogestrel,9,0
Birth Control,Apri,8,7
Birth Control,Lyza,5,3
Depression,Sertraline,10,26
Birth Control,Nexplanon,1,8
Birth Control,Etonogestrel,2,7
Depression,Cymbalta,1,33
Depression,Zoloft,1,6
Depression,Lexapro,9,57
Birth Control,Ethinyl estradiol / norethindrone,9,23
Birth Control,Sprintec,10,5
Birth Control,Levonorgestrel,8,2
Birth Control,Ethinyl estradiol / norethindrone,1,6
"Diabetes, Type 2",Liraglutide,9,28
Birth Control,Etonogestrel,10,1
Birth Control,Estarylla,2,3
Birth Control,Pirmella 1 / 35,1,1
Birth Control,Etonogestrel,3,4
"Diabetes, Type 2",Victoza,8,88
Birth Control,Levonorgestrel,8,6
Depression,Phenelzine,9,12
Birth Control,Nexplanon,1,2
Depression,Seroquel XR,10,122
"Diabetes, Type 2",Trulicity,10,19
Birth Control,Ethinyl estradiol / norgestimate,1,0
Depression,Venlafaxine,7,0
Birth Control,Etonogestrel,8,1
Birth Control,Desogestrel / ethinyl estradiol,10,6
Birth Control,Nexplanon,6,0
Birth Control,Ethinyl estradiol / norgestimate,5,3
Depression,Quetiapine,6,50
Birth Control,Ethinyl estradiol / levonorgestrel,1,10
"Diabetes, Type 2","Insulin inhalation, rapid acting",1,4
Depression,Trintellix,5,44
Birth Control,Desogestrel / ethinyl estradiol,3,2
Birth Control,Ethinyl estradiol / norethindrone,1,0
Birth Control,Medroxyprogesterone,2,7
Birth Control,Apri,5,4
Birth Control,Nexplanon,5,1
Birth Control,Ortho Tri-Cyclen Lo,7,2
Birth Control,Implanon,8,3
"Diabetes, Type 2",Trulicity,10,43
High Blood Pressure,Hydrochlorothiazide / lisinopril,2,12
High Blood Pressure,Lisinopril,6,73
Birth Control,Gildess Fe 1 / 20,2,4
Birth Control,Ethinyl estradiol / norethindrone,4,3
Birth Control,Ethinyl estradiol / norgestimate,9,17
Birth Control,NuvaRing,9,11
Birth Control,Sprintec,10,12
Birth Control,Levonorgestrel,9,13
Birth Control,Zarah,9,14
Birth Control,Levonorgestrel,10,9
Birth Control,Etonogestrel,10,7
Birth Control,Etonogestrel,10,17
Birth Control,Levonorgestrel,6,1
Birth Control,Ethinyl estradiol / norethindrone,10,9
Birth Control,Ethinyl estradiol / norethindrone,10,1
High Blood Pressure,Nebivolol,2,22
Birth Control,Sprintec,3,10
High Blood Pressure,Ziac,1,14
Birth Control,Implanon,9,3
Birth Control,Depo-Provera,5,8
Birth Control,Etonogestrel,10,13
Birth Control,Levonorgestrel,10,1
Birth Control,Drospirenone / ethinyl estradiol / levomefolate calcium,8,7
Birth Control,Lo Loestrin Fe,8,6
Birth Control,Tri-Sprintec,4,17
Depression,Viibryd,1,19
High Blood Pressure,Losartan,3,36
Birth Control,Nexplanon,6,4
"Diabetes, Type 2",Victoza,10,73
Birth Control,Ethinyl estradiol / norethindrone,6,4
High Blood Pressure,Hydrochlorothiazide,5,57
Birth Control,Ethinyl estradiol / levonorgestrel,4,17
Depression,Zoloft,2,21
Birth Control,Skyla,9,6
High Blood Pressure,Nebivolol,7,44
Birth Control,Ethinyl estradiol / norgestrel,8,7
Birth Control,Ethinyl estradiol / norethindrone,3,3
Birth Control,Ethinyl estradiol / norethindrone,10,14
Depression,Venlafaxine,1,2
Birth Control,Levonorgestrel,1,4
Birth Control,Etonogestrel,2,5
Birth Control,Etonogestrel,1,12
Birth Control,Nexplanon,10,1
Birth Control,Etonogestrel,1,0
Birth Control,Medroxyprogesterone,1,4
Birth Control,Levonorgestrel,9,10
Birth Control,Etonogestrel,2,2
Birth Control,Microgestin Fe 1 / 20,1,1
Birth Control,Implanon,4,2
Birth Control,Levonorgestrel,8,4
Depression,Vortioxetine,8,64
Depression,Tramadol,10,129
Birth Control,Xulane,8,2
Birth Control,Etonogestrel,6,0
Birth Control,Desogestrel / ethinyl estradiol,8,5
Depression,Citalopram,8,52
Birth Control,Etonogestrel,4,12
Birth Control,Mirena,7,2
Birth Control,Ethinyl estradiol / norethindrone,1,5
Birth Control,Ethinyl estradiol / levonorgestrel,8,2
Birth Control,Etonogestrel,3,3
Birth Control,Ethinyl estradiol / norethindrone,8,40
Birth Control,Skyla,7,4
Birth Control,Lo Loestrin Fe,8,9
Birth Control,Ethinyl estradiol / norgestimate,9,17
"Diabetes, Type 2",Bydureon,7,21
Depression,Duloxetine,9,33
Birth Control,Ethinyl estradiol / levonorgestrel,2,1
Depression,Citalopram,9,37
"Diabetes, Type 2",Dulaglutide,1,5
Depression,Risperidone,9,105
Birth Control,Ethinyl estradiol / norethindrone,3,0
Birth Control,Skyla,7,1
Depression,Lexapro,8,7
Birth Control,Copper,5,6
Depression,Pristiq,8,15
Depression,Sertraline,3,7
Depression,Vilazodone,3,43
"Diabetes, Type 2",Glyburide / metformin,3,0
Birth Control,Mirena,7,3
Birth Control,Ortho Tri-Cyclen,2,7
Birth Control,Plan B,10,7
Birth Control,Ethinyl estradiol / norethindrone,3,5
Birth Control,Lo Loestrin Fe,1,19
Birth Control,Nexplanon,3,1
Birth Control,ParaGard,5,4
Depression,Wellbutrin XL,10,43
Depression,Citalopram,9,13
Birth Control,Junel Fe 1 / 20,1,3
Depression,Remeron,8,23
Birth Control,Ethinyl estradiol / levonorgestrel,8,5
Birth Control,Levonorgestrel,5,0
Depression,Fluoxetine,10,16
Depression,L-methylfolate,10,16
Birth Control,Etonogestrel,8,4
High Blood Pressure,Amlodipine / hydrochlorothiazide / olmesartan,10,3
"Diabetes, Type 2",Liraglutide,10,120
Birth Control,Microgestin 1 / 20,10,15
Birth Control,Mirena,10,26
Birth Control,Ethinyl estradiol / levonorgestrel,7,2
Birth Control,Ortho Evra,8,69
Birth Control,Kariva,3,0
Depression,L-methylfolate,1,62
Depression,Citalopram,1,54
Birth Control,Chateal,10,11
Depression,Lexapro,9,272
Birth Control,Orsythia,9,8
High Blood Pressure,Lisinopril,9,122
Birth Control,Implanon,1,6
Birth Control,Ethinyl estradiol / etonogestrel,5,11
Birth Control,Ethinyl estradiol / levonorgestrel,6,4
Birth Control,Ethinyl estradiol / norelgestromin,10,11
Depression,Sertraline,9,24
Birth Control,Etonogestrel,9,8
Birth Control,Desogestrel / ethinyl estradiol,10,7
"Diabetes, Type 2",Actos,3,42
Birth Control,Apri,5,2
"Diabetes, Type 2",Farxiga,9,26
Birth Control,Etonogestrel,8,6
Birth Control,Medroxyprogesterone,8,7
Birth Control,Etonogestrel,3,0
"Diabetes, Type 2",Exenatide,1,3
Birth Control,Ethinyl estradiol / levonorgestrel,2,9
Birth Control,Etonogestrel,1,0
Depression,Vortioxetine,10,87
"Diabetes, Type 2",Insulin detemir,10,32
Birth Control,Jolessa,6,5
Birth Control,Skyla,8,1
Birth Control,Desogestrel / ethinyl estradiol,7,7
Depression,Trintellix,10,144
Birth Control,Etonogestrel,4,0
Birth Control,Etonogestrel,4,4
Birth Control,Junel Fe 1.5 / 30,5,0
Birth Control,Mirena,10,8
Birth Control,Ethinyl estradiol / norethindrone,5,1
Birth Control,Depo-Provera,10,8
Depression,Vortioxetine,10,88
High Blood Pressure,Valsartan,1,30
Birth Control,Implanon,1,10
Birth Control,Junel Fe 1.5 / 30,7,2
Birth Control,Levonorgestrel,9,30
Depression,Phenelzine,6,30
"Diabetes, Type 2",Victoza,9,19
Birth Control,ParaGard,7,9
Birth Control,Ethinyl estradiol / norethindrone,1,0
Birth Control,Copper,9,8
Birth Control,Etonogestrel,2,3
Depression,Zoloft,9,80
Birth Control,Implanon,9,0
Birth Control,NuvaRing,10,3
Depression,Bupropion,5,23
Birth Control,Nexplanon,1,8
Birth Control,Levonorgestrel,8,5
Birth Control,Desogestrel / ethinyl estradiol,3,1
Birth Control,Medroxyprogesterone,9,0
Depression,Bupropion,9,137
Depression,Pristiq,10,93
Depression,Risperidone,3,30
Birth Control,Etonogestrel,1,6
Birth Control,Ethinyl estradiol / norethindrone,10,17
Birth Control,Ocella,4,4
Depression,Zoloft,1,19
Depression,Alprazolam,10,197
Depression,Desvenlafaxine,9,18
Depression,Lexapro,10,93
Birth Control,Nexplanon,1,6
High Blood Pressure,Diovan,9,49
Birth Control,Skyla,8,9
Birth Control,Sprintec,7,20
Birth Control,Etonogestrel,3,10
Birth Control,Yaz,6,2
Birth Control,Skyla,1,3
Birth Control,ParaGard,8,10
Birth Control,Mirena,9,118
Birth Control,Sprintec,3,7
High Blood Pressure,Irbesartan,6,70
Birth Control,Ethinyl estradiol / etonogestrel,3,11
Depression,Vilazodone,7,7
Birth Control,Skyla,9,1
Birth Control,Ethinyl estradiol / etonogestrel,10,5
Birth Control,Microgestin Fe 1 / 20,6,36
Birth Control,Etonogestrel,9,13
Birth Control,Ethinyl estradiol / levonorgestrel,9,0
Birth Control,Desogestrel / ethinyl estradiol,2,3
Birth Control,Etonogestrel,6,0
Depression,Trazodone,1,29
Depression,Vortioxetine,2,18
Birth Control,Drospirenone / ethinyl estradiol,7,27
Birth Control,Sronyx,10,14
"Diabetes, Type 2",Januvia,7,47
Birth Control,Copper,6,10
Birth Control,Lo Loestrin Fe,10,2
Birth Control,Loestrin 24 Fe,8,0
Birth Control,Skyla,9,3
Birth Control,Ethinyl estradiol / levonorgestrel,2,3
"Diabetes, Type 2",Empagliflozin,10,26
Birth Control,Drospirenone / ethinyl estradiol,9,25
Birth Control,Ortho Evra,10,15
Birth Control,Mirena,9,10
Depression,Vilazodone,2,22
Birth Control,Ethinyl estradiol / levonorgestrel,10,5
Birth Control,Tri-Sprintec,9,23
Depression,Lexapro,10,127
Birth Control,Ethinyl estradiol / norgestimate,8,0
Depression,Vortioxetine,1,45
Birth Control,Generess Fe,10,1
Birth Control,Etonogestrel,2,10
Birth Control,Skyla,9,9
Birth Control,Microgestin Fe 1 / 20,5,4
Birth Control,Sronyx,2,4
Birth Control,Nexplanon,2,5
Birth Control,Ethinyl estradiol / norethindrone,2,2
Depression,Trintellix,1,45
Birth Control,Etonogestrel,9,12
Depression,Citalopram,10,10
Depression,Bupropion,7,27
High Blood Pressure,Amlodipine,10,32
High Blood Pressure,Toprol-XL,6,90
Birth Control,Desogestrel / ethinyl estradiol,1,0
"Diabetes, Type 2",Exenatide,9,11
Birth Control,Mirena,10,14
Depression,Vilazodone,3,20
Birth Control,Nexplanon,10,11
Birth Control,Camrese,7,1
Birth Control,Copper,10,13
High Blood Pressure,Losartan,9,39
Depression,Wellbutrin,10,128
Birth Control,Seasonique,6,6
Birth Control,Implanon,2,5
Birth Control,Ethinyl estradiol / norethindrone,5,4
Birth Control,Nexplanon,8,4
Birth Control,Ethinyl estradiol / norethindrone,7,6
Birth Control,TriNessa,8,2
Birth Control,Levonorgestrel,7,6
Birth Control,Mirena,10,11
Birth Control,Levonorgestrel,5,4
Birth Control,Levonorgestrel,1,11
Birth Control,Drospirenone / ethinyl estradiol,6,1
"Diabetes, Type 2",Exenatide,10,28
High Blood Pressure,Nebivolol,4,23
High Blood Pressure,Lisinopril,1,27
Birth Control,Viorele,1,1
Depression,Duloxetine,1,21
Birth Control,Junel Fe 1 / 20,1,0
Depression,Atomoxetine,9,2
Birth Control,Ethinyl estradiol / levonorgestrel,10,27
Birth Control,Levonorgestrel,4,50
Birth Control,Loestrin 24 Fe,1,1
Depression,Venlafaxine,9,48
Birth Control,Ethinyl estradiol / levonorgestrel,8,13
Birth Control,Microgestin Fe 1 / 20,10,15
Depression,Vilazodone,7,29
Birth Control,Tri-Previfem,4,2
Birth Control,Ethinyl estradiol / norgestimate,5,1
Birth Control,Ethinyl estradiol / norethindrone,6,0
Depression,Duloxetine,1,24
Birth Control,Ethinyl estradiol / norelgestromin,9,2
"Diabetes, Type 2",Bydureon,8,15
Birth Control,Mirena,7,9
Depression,Citalopram,10,22
Birth Control,Drospirenone / ethinyl estradiol,7,3
Birth Control,Levonorgestrel,6,2
Birth Control,Levonorgestrel,10,2
High Blood Pressure,Hydrochlorothiazide / valsartan,5,73
Birth Control,Etonogestrel,10,20
Depression,Paxil,9,8
Birth Control,Tri-Sprintec,3,1
Birth Control,Etonogestrel,9,11
Depression,Vortioxetine,8,88
Birth Control,Mirena,4,1
Birth Control,Ethinyl estradiol / norgestimate,10,7
Birth Control,Mirena,3,0
High Blood Pressure,Losartan,10,38
Birth Control,Viorele,1,7
Birth Control,Copper,10,11
High Blood Pressure,Hydrochlorothiazide / lisinopril,9,26
Birth Control,Ethinyl estradiol / norelgestromin,6,6
Birth Control,Levonorgestrel,9,0
High Blood Pressure,Amlodipine,1,59
Birth Control,Copper,9,10
Birth Control,Desogestrel / ethinyl estradiol,5,1
Birth Control,Mirena,9,15
Birth Control,Etonogestrel,2,8
Birth Control,Nexplanon,1,7
Birth Control,Lo Loestrin Fe,10,6
Birth Control,ParaGard,1,7
Birth Control,Lo Loestrin Fe,10,7
Birth Control,Loryna,8,3
Birth Control,Ortho Tri-Cyclen Lo,10,1
Birth Control,Nexplanon,4,9
Birth Control,Depo-Provera,4,2
Birth Control,Ethinyl estradiol / levonorgestrel,5,1
"Diabetes, Type 2",Glucophage,8,141
Birth Control,Nexplanon,1,5
Birth Control,Ethinyl estradiol / etonogestrel,9,7
Birth Control,Implanon,10,15
Birth Control,Sprintec,5,3
Depression,Zoloft,6,26
Birth Control,Copper,8,10
Depression,Bupropion,6,41
Birth Control,Copper,9,49
Birth Control,Ethinyl estradiol / norethindrone,5,0
Birth Control,Nexplanon,2,11
Birth Control,Nexplanon,10,4
Birth Control,Lo Loestrin Fe,9,33
High Blood Pressure,Lisinopril,1,38
Birth Control,Desogen,7,7
Depression,Fluoxetine,8,64
Depression,Vortioxetine,9,67
Birth Control,Ortho Tri-Cyclen,9,5
Birth Control,Norethindrone,1,3
Birth Control,Etonogestrel,7,12
Birth Control,Ethinyl estradiol / norgestimate,1,7
"Diabetes, Type 2",Jardiance,8,47
Birth Control,Microgestin 1 / 20,10,13
Birth Control,Etonogestrel,3,12
Birth Control,Microgestin Fe 1 / 20,2,5
Birth Control,Levonorgestrel,10,18
Birth Control,Gianvi,9,7
Birth Control,Ethinyl estradiol / norethindrone,4,14
Birth Control,Apri,4,2
Birth Control,Mirena,9,235
Birth Control,Loestrin 24 Fe,1,5
Depression,Duloxetine,9,43
Depression,Bupropion,9,84
Birth Control,Kyleena,8,3
Depression,Viibryd,1,28
Depression,Mirtazapine,9,81
Birth Control,Medroxyprogesterone,1,2
Birth Control,Implanon,1,5
Birth Control,Levonorgestrel,9,9
Depression,Aripiprazole,8,31
Depression,Rexulti,4,17
Birth Control,Gianvi,5,8
Birth Control,Sprintec,1,11
Birth Control,Nexplanon,1,2
Birth Control,ParaGard,5,5
Birth Control,Ethinyl estradiol / norgestimate,6,4
High Blood Pressure,Hydrochlorothiazide / olmesartan,10,16
Birth Control,Medroxyprogesterone,5,8
Depression,Armodafinil,10,51
"Diabetes, Type 2",Victoza,8,50
Birth Control,Levonorgestrel,7,2
Birth Control,Skyla,2,0
Birth Control,Loestrin 24 Fe,1,4
Birth Control,Ethinyl estradiol / norethindrone,2,0
Depression,Venlafaxine,1,20
Birth Control,Nexplanon,9,2
Birth Control,Ethinyl estradiol / norethindrone,1,3
Birth Control,Etonogestrel,3,0
Depression,Trintellix,9,106
Depression,Wellbutrin,7,53
"Diabetes, Type 2",Exenatide,8,15
Birth Control,Ortho Micronor,8,6
Birth Control,Ortho Micronor,10,22
Birth Control,Tri-Previfem,10,21
Depression,Wellbutrin,8,56
Birth Control,Ethinyl estradiol / norethindrone,1,7
Birth Control,Minastrin 24 Fe,10,9
Birth Control,Etonogestrel,5,7
"Diabetes, Type 2",Dapagliflozin,10,28
Birth Control,Mirena,9,10
Birth Control,Nexplanon,5,2
Depression,Pristiq,9,62
Birth Control,Nexplanon,6,1
Birth Control,Nexplanon,5,6
Birth Control,Tri-Previfem,1,1
Birth Control,Sprintec,9,18
Birth Control,Lo Loestrin Fe,8,6
Depression,L-methylfolate,10,9
"Diabetes, Type 2",Glimepiride,1,47
Birth Control,Etonogestrel,1,1
Birth Control,Ethinyl estradiol / levonorgestrel,7,2
"Diabetes, Type 2",Trulicity,4,16
Birth Control,Ethinyl estradiol / norelgestromin,4,3
Birth Control,NuvaRing,3,1
Birth Control,Medroxyprogesterone,3,43
Depression,Seroquel XR,10,47
Birth Control,Zarah,5,1
Depression,Paroxetine,9,48
Birth Control,Ethinyl estradiol / norgestimate,10,3
Birth Control,Etonogestrel,2,5
Birth Control,Etonogestrel,4,2
Birth Control,Nexplanon,8,4
Depression,Quetiapine,8,21
Depression,Viibryd,2,22
"Diabetes, Type 2",Metformin,5,20
Depression,Escitalopram,10,11
"Diabetes, Type 2",Dapagliflozin,10,13
Birth Control,Etonogestrel,1,2
Birth Control,Tri-Sprintec,9,8
Birth Control,Mirena,10,5
Birth Control,Liletta,1,8
High Blood Pressure,Terazosin,9,44
High Blood Pressure,Amlodipine,7,35
Depression,Pristiq,10,57
Birth Control,Drospirenone / ethinyl estradiol,10,0
Depression,Fluoxetine,8,47
Birth Control,Lo Loestrin Fe,9,4
Birth Control,Mirena,8,1
Depression,Escitalopram,1,2
Birth Control,Desogestrel / ethinyl estradiol,6,4
Depression,Trintellix,8,128
Birth Control,Drospirenone / ethinyl estradiol,10,12
Birth Control,Ethinyl estradiol / norethindrone,8,9
Birth Control,Tri-Previfem,1,3
Birth Control,Levonorgestrel,8,2
Birth Control,NuvaRing,7,11
Birth Control,Mononessa,5,4
Birth Control,Ethinyl estradiol / norgestimate,3,3
Birth Control,Ortho Tri-Cyclen,5,23
Depression,Prozac,9,57
Birth Control,Levonorgestrel,8,0
Birth Control,Orsythia,1,18
Birth Control,Implanon,6,6
Birth Control,Ethinyl estradiol / levonorgestrel,10,58
Depression,Duloxetine,7,23
Birth Control,Levonorgestrel,7,3
Birth Control,Levonorgestrel,1,1
Birth Control,Skyla,7,0
High Blood Pressure,Amlodipine,8,145
Birth Control,Nexplanon,1,6
Birth Control,Ethinyl estradiol / norethindrone,3,6
Depression,Bupropion,1,2
Birth Control,Levonorgestrel,7,13
"Diabetes, Type 2",Dulaglutide,1,0
Birth Control,Ethinyl estradiol / levonorgestrel,8,4
Birth Control,Ethinyl estradiol / etonogestrel,5,2
"Diabetes, Type 2",Victoza,8,9
Birth Control,Ethinyl estradiol / norethindrone,10,2
Birth Control,Skyla,4,9
Birth Control,Apri,2,1
Birth Control,Levonorgestrel,3,28
Birth Control,Implanon,8,5
Depression,Zyprexa,10,61
Birth Control,Microgestin Fe 1 / 20,9,35
Birth Control,Orsythia,4,6
Birth Control,Etonogestrel,9,2
Birth Control,Orsythia,10,7
Depression,Citalopram,9,21
Depression,Fluvoxamine,1,18
Birth Control,Etonogestrel,3,3
Depression,Sertraline,10,33
Birth Control,Nexplanon,9,3
Birth Control,Desogestrel / ethinyl estradiol,5,1
Birth Control,Levonorgestrel,3,15
Birth Control,NuvaRing,5,17
Birth Control,Levonorgestrel,9,3
Birth Control,Ethinyl estradiol / norethindrone,6,79
Birth Control,Levonorgestrel,10,397
Birth Control,Ethinyl estradiol / levonorgestrel,3,7
Birth Control,Mirena,8,1
Birth Control,Desogestrel / ethinyl estradiol,1,1
Depression,Wellbutrin XL,7,13
Birth Control,Lo Loestrin Fe,2,4
Depression,Remeron SolTab,10,33
Depression,Zoloft,10,94
Depression,Bupropion,10,115
Birth Control,Ethinyl estradiol / levonorgestrel,3,2
Birth Control,Levonorgestrel,3,1
Birth Control,Lo Loestrin Fe,10,14
Birth Control,Levonorgestrel,9,0
Birth Control,Ethinyl estradiol / norelgestromin,9,2
Birth Control,Etonogestrel,10,23
Birth Control,Nexplanon,4,3
Birth Control,Etonogestrel,10,0
Birth Control,Ethinyl estradiol / norethindrone,4,1
Birth Control,Etonogestrel,10,2
Birth Control,Copper,10,7
Depression,Prozac,10,20
Birth Control,Ethinyl estradiol / etonogestrel,10,2
"Diabetes, Type 2",Bydureon,5,2
Depression,Bupropion,10,89
